Reaction Name                                           , Net Profit per Week, Net Profit (Instant Buy/Sell), Profit % (Instant), Net Profit (Order-based), Profit % (Order-based), Input Cost (Jita Sell), Output Revenue (Jita Buy), Input Cost (Jita Buy), Output Revenue (Jita Sell), Inputs                                                                                                                                                                                                  , Products
Phenolic Composites Reaction Formula                    , "85,192,800.00"    , "319,350.00"                 , 15.91%            , "709,940.00"            , 43.64%                , "2,007,150.00"        , "2,475,000.00"           , "1,626,900.00"       , "2,486,000.00"            , "Oxygen Fuel Block x5, Silicon Diborite x100, Caesarium Cadmide x100, Vanadium Hafnite x100"                                                                                                            , Phenolic Composites x2200
Photonic Metamaterials Reaction Formula                 , "130,526,400.00"   , "549,810.00"                 , 17.21%            , "1,087,720.00"          , 40.80%                , "3,195,150.00"        , "3,984,000.00"           , "2,665,700.00"       , "3,993,000.00"            , "Oxygen Fuel Block x5, Crystallite Alloy x100, Thulium Hafnite x100"                                                                                                                                    , Photonic Metamaterials x300
Tungsten Carbide Reaction Formula                       , "34,437,600.00"    , "146,870.00"                 , 18.03%            , "286,980.00"            , 38.47%                , "814,750.00"          , "1,023,000.00"           , "746,080.00"         , "1,099,000.00"            , "Nitrogen Fuel Block x5, Rolled Tungsten Alloy x100, Sulfuric Acid x100"                                                                                                                                , Tungsten Carbide x10000
Ultradian-Cycling Neurolink Stabilizer Reaction Formula , "88,968,000.00"    , "-974,310.00"                , -44.72%           , "741,400.00"            , 38.45%                , "2,178,450.00"        , "1,281,000.00"           , "1,928,200.00"       , "2,840,000.00"            , "Helium Fuel Block x5, Malachite Cytoserocin x10, Lime Cytoserocin x10, LM-Composite Molecular Condenser x1"                                                                                            , Ultradian-Cycling Neurolink Stabilizer x10
Hypnagogic Neurolink Enhancer Reaction Formula          , "393,835,200.00"   , "-550,090.00"                , -5.05%            , "3,281,960.00"          , 38.40%                , "10,884,450.00"       , "10,994,000.00"          , "8,547,000.00"       , "12,584,000.00"           , "Helium Fuel Block x5, Lime Mykoserocin x40, Malachite Mykoserocin x40, LM-Composite Molecular Condenser x1"                                                                                            , Hypnagogic Neurolink Enhancer x20
Titanium Chromide Reaction Formula                      , "38,004,000.00"    , "159,038.00"                 , 16.41%            , "316,700.00"            , 34.98%                , "969,150.00"          , "1,200,200.00"           , "905,300.00"         , "1,300,000.00"            , "Oxygen Fuel Block x5, Titanium x100, Chromium x100"                                                                                                                                                    , Titanium Chromide x200
Sylramic Fibers Reaction Formula                        , "45,869,280.00"    , "148,970.00"                 , 11.66%            , "382,244.00"            , 34.35%                , "1,277,950.00"        , "1,518,000.00"           , "1,112,920.00"       , "1,590,600.00"            , "Helium Fuel Block x5, Ceramic Powder x100, Hexite x100"                                                                                                                                                , Sylramic Fibers x6000
Fulleride Reaction Formula                              , "72,889,440.00"    , "264,016.00"                 , 13.61%            , "607,412.00"            , 33.99%                , "1,939,250.00"        , "2,343,900.00"           , "1,787,050.00"       , "2,547,300.00"            , "Nitrogen Fuel Block x5, Carbon Polymers x100, Platinum Technite x100"                                                                                                                                  , Fullerides x3000
Terahertz Metamaterials Reaction Formula                , "156,871,200.00"   , "787,010.00"                 , 18.62%            , "1,307,260.00"          , 33.73%                , "4,226,950.00"        , "5,334,000.00"           , "3,875,900.00"       , "5,514,000.00"            , "Helium Fuel Block x5, Rolled Tungsten Alloy x100, Promethium Mercurite x100"                                                                                                                           , Terahertz Metamaterials x300
Hexite Reaction Formula                                 , "59,226,000.00"    , "134,474.00"                 , 8.51%             , "493,550.00"            , 33.34%                , "1,580,650.00"        , "1,824,600.00"           , "1,480,450.00"       , "2,100,000.00"            , "Nitrogen Fuel Block x5, Chromium x100, Platinum x100"                                                                                                                                                  , Hexite x200
